opening,opening_archetype
Birds Opening Froms Gambit Lasker Gambit,Birds Opening
Birds Opening Froms Gambit Lasker Variation,Birds Opening
Birds Opening Froms Gambit Schlechter Gambit,Birds Opening
Birds Opening Froms Gambit Siegener Gambit,Birds Opening
Birds Opening Hobbs Gambit,Birds Opening
Birds Opening Hobbs Zilbermints Gambit,Birds Opening
Birds Opening Horsefly Defense,Birds Opening
Birds Opening Mujannah Formation,Birds Opening
Birds Opening Myers Defense,Birds Opening
Birds Opening Swiss Gambit,Birds Opening
Bishops Opening,Bishops Opening
Bishops Opening Berlin Defense,Bishops Opening
Bishops Opening Berlin Greco Gambit,Bishops Opening
Bishops Opening Berlin Ponziani Gambit,Bishops Opening
Bishops Opening Berlin Ponziani Urusov Gambit,Bishops Opening
Bishops Opening Berlin Ponziani Urusov Keidansky Gambit,Bishops Opening
Bishops Opening Berlin Ponziani Warsaw Gambit,Bishops Opening
Bishops Opening Berlin Spielmann Attack,Bishops Opening
Bishops Opening Berlin Vienna Hybrid Hromadka Variation,Bishops Opening
Bishops Opening Berlin Vienna Hybrid Variation,Bishops Opening
Bishops Opening Boi Lewis Gambit,Bishops Opening
Bishops Opening Boi Lopez Variation,Bishops Opening
Bishops Opening Boi McDonnell Gambit,Bishops Opening
Bishops Opening Boi Philidor Variation,Bishops Opening
Bishops Opening Boi Stein Gambit,Bishops Opening
Bishops Opening Boi Variation,Bishops Opening
Bishops Opening Khan Gambit,Bishops Opening
Bishops Opening Philidor Counterattack,Bishops Opening
Blumenfeld Countergambit,Blumenfeld Countergambit
Blumenfeld Countergambit Accepted,Blumenfeld Countergambit
Blumenfeld Countergambit Duz Khotimirsky Spielmann Variation,Blumenfeld Countergambit
Blumenfeld Countergambit Duz Khotimirsky Variation,Blumenfeld Countergambit
Blumenfeld Countergambit Rubinstein Variation,Blumenfeld Countergambit
Bogo Indian Defense,Bogo Indian Defense
Bogo Indian Defense Exchange Variation,Bogo Indian Defense
Bogo Indian Defense Grunfeld Variation,Bogo Indian Defense
Bogo Indian Defense Haiti Variation,Bogo Indian Defense
Bogo Indian Defense Nimzowitsch Variation,Bogo Indian Defense
Bogo Indian Defense Retreat Variation,Bogo Indian Defense
Bogo Indian Defense Vitolins Variation,Bogo Indian Defense
Bogo Indian Defense Wade Smyslov Variation,Bogo Indian Defense
Budapest Gambit,Budapest Gambit
Budapest Gambit Adler Variation,Budapest Gambit
Budapest Gambit Alekhine Abonyi Variation,Budapest Gambit
Budapest Gambit Alekhine Variation,Budapest Gambit
Budapest Gambit Fajarowicz Variation,Budapest Gambit
Budapest Gambit Rubinstein Kornl Richter Gambit,Budapest Gambit
Budapest Gambit Rubinstein Variation,Budapest Gambit
Caro Kann Defense,Caro Kann Defense
Caro Kann Defense Accelerated Panov Attack,Caro Kann Defense
Caro Kann Defense Accelerated Panov Modern Variation,Caro Kann Defense
Caro Kann Defense Accelerated Panov Open,Caro Kann Defense
Caro Kann Defense Accelerated Panov Toikkanen Gambit,Caro Kann Defense
Caro Kann Defense Advance Bayonet Attack,Caro Kann Defense
Caro Kann Defense Advance Botvinnik Carls Defense,Caro Kann Defense
Caro Kann Defense Advance Bronstein Variation,Caro Kann Defense
Caro Kann Defense Advance Short Variation with,Caro Kann Defense
Caro Kann Defense Advance Tal Variation,Caro Kann Defense
Caro Kann Defense Advance Van der Wiel Attack,Caro Kann Defense
Caro Kann Defense Advance Van der Wiel Dreyev Defense,Caro Kann Defense
Caro Kann Defense Advance Variation,Caro Kann Defense
Caro Kann Defense Alekhine Gambit,Caro Kann Defense
Caro Kann Defense Alien Gambit,Caro Kann Defense
Caro Kann Defense Breyer Stein Attack,Caro Kann Defense
Caro Kann Defense Breyer Variation,Caro Kann Defense
Caro Kann Defense Bronstein Larsen Variation,Caro Kann Defense
Caro Kann Defense Campomanes Attack,Caro Kann Defense
Caro Kann Defense Classical Flohr Variation,Caro Kann Defense
Caro Kann Defense Classical Maroczy Attack,Caro Kann Defense
Caro Kann Defense Classical Spassky Lobron System,Caro Kann Defense
Caro Kann Defense Classical Spassky Seirawan Variation,Caro Kann Defense
Caro Kann Defense Classical Spassky Variation,Caro Kann Defense
Caro Kann Defense Classical Variation,Caro Kann Defense
Caro Kann Defense De Bruycker Defense,Caro Kann Defense
Caro Kann Defense Euwe Attack,Caro Kann Defense
Caro Kann Defense Exchange Rubinstein Variation,Caro Kann Defense
Caro Kann Defense Exchange Variation,Caro Kann Defense
Caro Kann Defense Fantasy Variation,Caro Kann Defense
Caro Kann Defense Fantasy Variation Maroczy Gambit,Caro Kann Defense
Caro Kann Defense Finnish Variation,Caro Kann Defense
Caro Kann Defense Goldman Variation,Caro Kann Defense
Caro Kann Defense Gurgenidze Counterattack,Caro Kann Defense
Caro Kann Defense Gurgenidze System,Caro Kann Defense
Caro Kann Defense Hillbilly Attack,Caro Kann Defense
Caro Kann Defense Hillbilly Schaeffer Gambit,Caro Kann Defense
Caro Kann Defense Karpov Ivanchuk Defense,Caro Kann Defense
Caro Kann Defense Karpov Kasparov Attack,Caro Kann Defense
Caro Kann Defense Karpov Main Line,Caro Kann Defense
Caro Kann Defense Karpov Smyslov Variation,Caro Kann Defense
Caro Kann Defense Karpov Tiviakov Fischer Attack,Caro Kann Defense
Caro Kann Defense Karpov Variation,Caro Kann Defense
Caro Kann Defense Labahn Attack,Caro Kann Defense
Caro Kann Defense Labahn Double Gambit,Caro Kann Defense
Caro Kann Defense Main Line,Caro Kann Defense
Caro Kann Defense Masi Variation,Caro Kann Defense
Caro Kann Defense Mieses Gambit,Caro Kann Defense
Caro Kann Defense Modern Edinburgh Variation,Caro Kann Defense
Caro Kann Defense Modern Variation,Caro Kann Defense
Caro Kann Defense Panov Attack,Caro Kann Defense
Caro Kann Defense Panov Fianchetto Defense,Caro Kann Defense
Caro Kann Defense Panov Fianchetto Defense Fianchetto Gambit,Caro Kann Defense
Caro Kann Defense Panov Gunderam Attack,Caro Kann Defense
Caro Kann Defense Panov Modern Carlsbad Line,Caro Kann Defense
